Algorithm,Calls,Successful_Searches,Failed_Searches,Avg_Time_ms,Avg_Path_Length,Total_Time_ms,Avg_Nodes_Explored
astar,56,56,0,0.107,10.4,6.013,13.3
bfs,50,50,0,0.300,10.0,15.007,63.4
dijkstra,56,56,0,0.333,10.4,18.641,63.6
dfs,53,53,0,0.392,48.7,20.774,83.8

astar,96,96,0,0.142,9.6,13.668,16.8
bfs,87,87,0,0.271,9.5,23.568,49.5
dijkstra,96,96,0,0.269,9.6,25.791,51.8
dfs,1777,62,1715,0.683,36.6,1214.313,181.2

astar,18,18,0,0.121,8.3,2.176,12.1
bfs,16,16,0,0.226,8.2,3.619,46.8
dijkstra,18,18,0,0.244,8.3,4.393,44.7
dfs,17,17,0,0.214,29.2,3.645,40.4

astar,12,12,0,0.211,13.7,2.531,24.8
bfs,11,11,0,0.558,15.4,6.136,126.0
dijkstra,12,12,0,0.546,13.7,6.549,108.3

astar,215,215,0,0.135,9.3,29.029,14.4
bfs,169,169,0,0.296,9.5,49.961,57.3
dijkstra,183,183,0,0.322,9.5,58.920,57.1

astar,11,11,0,0.172,9.0,1.897,15.2

astar,105,105,0,0.120,8.8,12.634,12.2
bfs,80,80,0,0.238,8.4,19.010,44.0
dijkstra,80,80,0,0.323,9.0,25.854,50.5

astar,29,29,0,0.137,10.6,3.981,15.6

astar,11,11,0,0.177,10.3,1.949,15.5

astar,49,49,0,0.138,9.5,6.763,14.8
bfs,3,3,0,0.982,20.0,2.945,159.7

astar,21,21,0,0.163,11.2,3.431,18.3

astar,28,28,0,0.192,11.6,5.387,17.6

astar,81,81,0,0.161,11.6,13.070,17.0
bfs,29,29,0,0.480,14.3,13.930,108.4
dijkstra,11,11,0,0.472,10.5,5.189,61.5

astar,16,16,0,0.171,11.2,2.730,15.3

astar,39,39,0,0.098,9.6,3.826,16.6

astar,132,132,0,0.189,10.9,24.979,21.9
bfs,49,49,0,0.382,11.7,18.716,78.7
dijkstra,56,56,0,0.530,12.2,29.656,85.1

astar,156,156,0,0.122,9.4,19.052,14.7
bfs,77,77,0,0.379,12.4,29.168,85.5
dijkstra,95,95,0,0.338,10.4,32.154,66.8

astar,8,8,0,0.142,13.4,1.132,22.6





astar,1,1,0,0.334,18.0,0.334,39.0

astar,86,86,0,0.251,13.1,21.618,27.9
bfs,44,44,0,0.372,10.8,16.354,66.3
dijkstra,14,14,0,0.674,15.9,9.434,113.1

astar,61,61,0,0.336,16.7,20.476,43.4
bfs,30,30,0,0.490,17.4,14.697,94.8
dijkstra,4,4,0,0.847,25.5,3.389,138.0





astar,7,7,0,0.561,30.0,3.930,72.0











astar,98,98,0,0.203,11.9,19.854,23.7
bfs,57,57,0,0.366,12.5,20.885,65.8
dijkstra,42,42,0,0.546,14.4,22.946,82.7

astar,110,110,0,0.165,10.8,18.172,19.6
bfs,62,62,0,0.278,10.2,17.254,61.6
dijkstra,55,55,0,0.343,11.1,18.841,73.7

astar,100,100,0,0.240,13.8,23.956,28.1
bfs,65,65,0,0.326,10.5,21.211,47.2
dijkstra,19,19,0,0.267,10.4,5.066,36.5

